patch,area_m2,longitude,latitude,cluster
128,25946.19597,408918.6984,99947.92633,north
129,892938.3583,408925.9661,104165.6989,north
130,21117.87399,408985.1265,103021.2091,north
131,183089.3431,409031.1865,106250.2593,north
132,803131.549,409090.8661,99043.45481,north
133,158876.1729,409128.8767,109502.1824,north
134,42613.40266,409213.6702,103158.4385,north
135,59147.34481,409317.45,111522.3115,north
136,453369.8038,409359.6372,100292.3135,north
137,49513.4721,409399.3861,110132.7148,north
138,10996.43546,409404.1746,96524.79854,north
139,104508.4201,409433.227,112225.3791,north
140,284141.228,409629.838,106966.2397,north
141,51532.22807,409630.8398,103056.2195,north
142,10833.92653,409717.5635,98613.35639,north
143,76004.18061,409782.2107,110276.5443,north
144,16676.04673,410147.6994,98761.70503,north
145,46652.8287,410164.2403,108848.7359,north
146,748599.7442,410181.9212,111315.7421,north
147,169923.1308,410471.3605,109502.2331,north
148,365876.6363,410477.6295,103922.3506,north
149,106753.0438,410524.588,107173.9242,north
150,13181.85217,410611.3012,100076.5498,north
151,30817.00163,410702.1161,112463.034,north
152,431928.3578,410707.6932,110543.3172,north
153,17627.15189,410961.0932,101818.3722,north
154,10265.95309,410970.6392,101233.3872,north
155,17106.6413,411200.7061,102408.2547,north
156,661902.2811,411220.7972,99096.50847,north
157,21512.3707,411359.928,101337.1386,north
158,13442.96669,411724.0214,101606.564,north
159,91543.83698,411931.2058,105700.7912,north
160,10396.6849,411991.8543,102042.99,north
161,392071.0922,412373.6488,101408.3626,north
162,2102531.947,412374.3409,100125.9624,north
163,12156.13548,412410.6744,98376.11817,north
164,485306.1798,412682.9646,102474.9061,north
165,59654.30757,412760.1601,101979.2065,north
166,1057040.917,412784.2061,103512.0251,north
167,642724.7581,413113.5548,97811.46377,north
168,65773.82411,413269.1058,105385.184,north
169,12179.81421,413410.8851,102136.6181,north
170,22907.94712,413416.0407,96230.17937,north
171,21642.01076,413624.2132,101934.9292,north
172,23098.20282,413904.324,97872.18705,north
173,1197628.884,414097.5167,96454.69231,north
174,22878.43462,414410.1473,95397.13711,north
175,23138.95745,414516.5221,97442.26631,north
176,151467.4487,414732.6347,95092.91714,north
177,81383.65738,418212.477,94275.93442,north
